,Proteostasis,RNA_Metabolism,Cytoskeletal_Axonal_Transport,Mitochondrial,Excitotoxicity,Vesicle_Trafficking,DNA_Damage
Proteostasis,1.0,-0.23953069756106166,-0.1771496145087764,0.31894505712169935,0.4299332077450047,-0.40755494630943173,-0.27843434602709916
RNA_Metabolism,-0.23953069756106166,1.0,-0.05409491938284344,0.21418720157074933,0.08838698794085255,-0.14888998876027354,-0.09533419946101584
Cytoskeletal_Axonal_Transport,-0.1771496145087764,-0.05409491938284344,1.0,-0.10836952368763304,-0.11147612150643245,-0.0879974007755076,-0.06383792393476706
Mitochondrial,0.31894505712169935,0.21418720157074933,-0.10836952368763304,1.0,0.6873967730116889,-0.2808562620648836,-0.19943209448771335
Excitotoxicity,0.4299332077450047,0.08838698794085255,-0.11147612150643245,0.6873967730116889,1.0,-0.245984816427205,-0.1686121979808013
Vesicle_Trafficking,-0.40755494630943173,-0.14888998876027354,-0.0879974007755076,-0.2808562620648836,-0.245984816427205,1.0,0.374571302109688
DNA_Damage,-0.27843434602709916,-0.09533419946101584,-0.06383792393476706,-0.19943209448771335,-0.1686121979808013,0.374571302109688,1.0
