,Proteostasis,RNA_Metabolism,Cytoskeletal_Axonal_Transport,Mitochondrial,Excitotoxicity,Vesicle_Trafficking,DNA_Damage
Proteostasis,1.0,-0.2575576467294673,-0.18580173914712644,0.324008780798754,0.43696716308767264,-0.4420095962474561,-0.3002068791564929
RNA_Metabolism,-0.2575576467294673,1.0,-0.054142748424769516,0.19069031856627836,0.07042419950528932,-0.1537109169057075,-0.09497650041209323
Cytoskeletal_Axonal_Transport,-0.18580173914712644,-0.054142748424769516,1.0,-0.1114929535553423,-0.11233020993400214,-0.08979902444490723,-0.06404479812410795
Mitochondrial,0.324008780798754,0.19069031856627836,-0.1114929535553423,1.0,0.7038933772539155,-0.29290258525021173,-0.2088818111409716
Excitotoxicity,0.43696716308767264,0.07042419950528932,-0.11233020993400214,0.7038933772539155,1.0,-0.2571919992609259,-0.17650351294057867
Vesicle_Trafficking,-0.4420095962474561,-0.1537109169057075,-0.08979902444490723,-0.29290258525021173,-0.2571919992609259,1.0,0.36395015926180985
DNA_Damage,-0.3002068791564929,-0.09497650041209323,-0.06404479812410795,-0.2088818111409716,-0.17650351294057867,0.36395015926180985,1.0
